,tweet_id,jpg_url,predicted_breed,timestamp,text,rating_numerator,rating_denominator,name,dog_stage,favorite_count,retweet_count
0,666020888022790149,https://pbs.twimg.com/media/CT4udn0WwAA0aMy.jpg,Welsh_springer_spaniel,2015-11-15 22:32:08,Here we have a Japanese Irish Setter. Lost eye in Vietnam (?). Big fan of relaxing on stair. 8/10 would pet https://t.co/BLDqew2Ijj,8.0,10.0,None,,2273.0,418.0
1,666029285002620928,https://pbs.twimg.com/media/CT42GRgUYAA5iDo.jpg,redbone,2015-11-15 23:05:30,This is a western brown Mitsubishi terrier. Upset about leaf. Actually 2 dogs here. 7/10 would walk the shit out of https://t.co/r7mOb2m0UI,7.0,10.0,a,,112.0,39.0
2,666033412701032449,https://pbs.twimg.com/media/CT4521TWwAEvMyu.jpg,German_shepherd,2015-11-15 23:21:54,Here is a very happy pup. Big fan of well-maintained decks. Just look at that tongue. 9/10 would cuddle af https://t.co/y671yMhoiR,9.0,10.0,a,,100.0,36.0
3,666044226329800704,https://pbs.twimg.com/media/CT5Dr8HUEAA-lEu.jpg,Rhodesian_ridgeback,2015-11-16 00:04:52,This is a purebred Piers Morgan. Loves to Netflix and chill. Always looks like he forgot to unplug the iron. 6/10 https://t.co/DWnyCjf2mx,6.0,10.0,a,,245.0,114.0
4,666049248165822465,https://pbs.twimg.com/media/CT5IQmsXIAAKY4A.jpg,miniature_pinscher,2015-11-16 00:24:50,Here we have a 1949 1st generation vulpix. Enjoys sweat tea and Fox News. Cannot be phased. 5/10 https://t.co/4B7cOc1EDq,5.0,10.0,None,,88.0,36.0
5,666050758794694657,https://pbs.twimg.com/media/CT5Jof1WUAEuVxN.jpg,Bernese_mountain_dog,2015-11-16 00:30:50,This is a truly beautiful English Wilson Staff retriever. Has a nice phone. Privileged. 10/10 would trade lives with https://t.co/fvIbQfHjIe,10.0,10.0,a,,115.0,50.0
6,666055525042405380,https://pbs.twimg.com/media/CT5N9tpXIAAifs1.jpg,chow,2015-11-16 00:49:46,Here is a Siberian heavily armored polar bear mix. Strong owner. 10/10 I would do unspeakable things to pet this dog https://t.co/rdivxLiqEt,10.0,10.0,a,,363.0,196.0
7,666057090499244032,https://pbs.twimg.com/media/CT5PY90WoAAQGLo.jpg,golden_retriever,2015-11-16 00:55:59,My oh my. This is a rare blond Canadian terrier on wheels. Only $8.98. Rather docile. 9/10 very rare https://t.co/yWBqbrzy8O,9.0,10.0,a,,247.0,111.0
8,666058600524156928,https://pbs.twimg.com/media/CT5Qw94XAAA_2dP.jpg,miniature_poodle,2015-11-16 01:01:59,Here is the Rand Paul of retrievers folks! He's probably good at poker. Can drink beer (lol rad). 8/10 good dog https://t.co/pYAJkAe76p,8.0,10.0,the,,99.0,47.0
9,666063827256086533,https://pbs.twimg.com/media/CT5Vg_wXIAAXfnj.jpg,golden_retriever,2015-11-16 01:22:45,This is the happiest dog you will ever see. Very committed owner. Nice couch. 10/10 https://t.co/RhUEAloehK,10.0,10.0,the,,393.0,180.0
10,666071193221509120,https://pbs.twimg.com/media/CT5cN_3WEAAlOoZ.jpg,Gordon_setter,2015-11-16 01:52:02,Here we have a northern speckled Rhododendron. Much sass. Gives 0 fucks. Good tongue. 9/10 would caress sensually https://t.co/ZoL8kq2XFx,9.0,10.0,None,,127.0,50.0
11,666073100786774016,https://pbs.twimg.com/media/CT5d9DZXAAALcwe.jpg,Walker_hound,2015-11-16 01:59:36,Let's hope this flight isn't Malaysian (lol). What a dog! Almost completely camouflaged. 10/10 I trust this pilot https://t.co/Yk6GHE9tOY,10.0,10.0,None,,273.0,129.0
12,666082916733198337,https://pbs.twimg.com/media/CT5m4VGWEAAtKc8.jpg,pug,2015-11-16 02:38:37,Here we have a well-established sunblockerspaniel. Lost his other flip-flop. 6/10 not very waterproof https://t.co/3RU6x0vHB7,6.0,10.0,None,,92.0,37.0
13,666094000022159362,https://pbs.twimg.com/media/CT5w9gUW4AAsBNN.jpg,bloodhound,2015-11-16 03:22:39,This appears to be a Mongolian Presbyterian mix. Very tired. Tongue slip confirmed. 9/10 would lie down with https://t.co/mnioXo3IfP,9.0,10.0,None,,141.0,63.0
14,666099513787052032,https://pbs.twimg.com/media/CT51-JJUEAA6hV8.jpg,Lhasa,2015-11-16 03:44:34,Can stand on stump for what seems like a while. Built that birdhouse? Impressive. Made friends with a squirrel. 8/10 https://t.co/Ri4nMTLq5C,8.0,10.0,None,,134.0,53.0
15,666102155909144576,https://pbs.twimg.com/media/CT54YGiWUAEZnoK.jpg,English_setter,2015-11-16 03:55:04,Oh my. Here you are seeing an Adobe Setter giving birth to twins!!! The world is an amazing place. 11/10 https://t.co/11LvqN4WLq,11.0,10.0,None,,66.0,11.0
16,666273097616637952,https://pbs.twimg.com/media/CT8T1mtUwAA3aqm.jpg,Italian_greyhound,2015-11-16 15:14:19,Can take selfies 11/10 https://t.co/ws2AMaNwPW,11.0,10.0,None,,151.0,66.0
17,666287406224695296,https://pbs.twimg.com/media/CT8g3BpUEAAuFjg.jpg,Maltese_dog,2015-11-16 16:11:11,This is an Albanian 3 1/2 legged  Episcopalian. Loves well-polished hardwood flooring. Penis on the collar. 9/10 https://t.co/d9NcXFKwLv,9.0,10.0,an,,122.0,55.0
18,666337882303524864,https://pbs.twimg.com/media/CT9OwFIWEAMuRje.jpg,Newfoundland,2015-11-16 19:31:45,This is an extremely rare horned Parthenon. Not amused. Wears shoes. Overall very nice. 9/10 would pet aggressively https://t.co/QpRjllzWAL,9.0,10.0,an,,167.0,79.0
19,666345417576210432,https://pbs.twimg.com/media/CT9Vn7PWoAA_ZCM.jpg,golden_retriever,2015-11-16 20:01:42,Look at this jokester thinking seat belt laws don't apply to him. Great tongue tho 10/10 https://t.co/VFKG1vxGjB,10.0,10.0,None,,241.0,121.0
20,666353288456101888,https://pbs.twimg.com/media/CT9cx0tUEAAhNN_.jpg,malamute,2015-11-16 20:32:58,Here we have a mixed Asiago from the Galápagos Islands. Only one ear working. Big fan of marijuana carpet. 8/10 https://t.co/tltQ5w9aUO,8.0,10.0,None,,177.0,56.0
21,666373753744588802,https://pbs.twimg.com/media/CT9vZEYWUAAlZ05.jpg,soft-coated_wheaten_terrier,2015-11-16 21:54:18,Those are sunglasses and a jean jacket. 11/10 dog cool af https://t.co/uHXrPkUEyl,11.0,10.0,None,,162.0,73.0
